V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
13.3,13.9,13.1,11.8,10.6,10.1,10.4,9.2,8.8,8.4
17.4,16,12.6,9.8,8.4,8.8,8.3,5.1,5.0,4.7
12.5,16,14.7,12.6,11.4,9.9,12.8,8.7,8.5,8.5
12.8,14.3,15.4,14.5,10.6,10.6,11.6,11.6,10.5,9.6
12.7,11.4,13.3,11.9,12.6,13.4,11.3,11.4,11.5,10.5
9.8,10.1,8.5,10.2,10.2,8,8.3,9.4,8.7,8.5
3.8,4.1,3.6,3.3,3.2,3.4,3.3,2.7,2.3,2.1
23.1,24,23,20.6,18.4,17,17.8,16,15.7,14.9
12,12.6,11.5,9.9,8.6,8.6,8.6,7.9,7.6,7.2
11.1,10,10.5,12.6,10.9,8.9,9.2,5.9,9.8,8.4
23,26.1,24.9,23.1,23,21.1,22.4,19.5,16.0,16.0
