"YEAR","smoking_grp","stage","predicted_cost","se"
1,"non-smokers","Stage I",28206.2731736676,4652.55746031032
2,"non-smokers","Stage I",16566.98206601,1772.56822514503
3,"non-smokers","Stage I",10458.0263161596,1123.47669077853
4,"non-smokers","Stage I",7468.00142605868,850.74582699593
5,"non-smokers","Stage I",5997.51384400233,630.302026316837
6,"non-smokers","Stage I",5071.27137856489,545.461323622248
7,"non-smokers","Stage I",4120.47617121026,489.622724274999
8,"non-smokers","Stage I",3006.96859200707,341.894607778627
9,"non-smokers","Stage I",1953.5783623874,233.701940663497
10,"non-smokers","Stage I",1184.95558147587,220.035244764208
11,"non-smokers","Stage I",710.252598994636,201.213598164664
12,"non-smokers","Stage I",425.719547858774,165.790548843374
13,"non-smokers","Stage I",255.172784563718,127.251175349519
14,"non-smokers","Stage I",152.948461750226,93.2033435717108
15,"non-smokers","Stage I",91.6760460632864,66.0843116702691
16,"non-smokers","Stage I",54.9498656320115,45.7611417229217
17,"non-smokers","Stage I",32.936496092902,31.1254400971009
18,"non-smokers","Stage I",19.7418640136906,20.8760736582661
19,"non-smokers","Stage I",11.8331104084581,13.845163117611
20,"non-smokers","Stage I",7.0926687490935,9.09795667239335
1,"non-smokers","Stage II",47521.3552056653,12151.585835361
2,"non-smokers","Stage II",34765.4934275293,7496.5220434204
3,"non-smokers","Stage II",25433.620951637,4627.30968687694
4,"non-smokers","Stage II",18606.6574751506,2953.44200236385
5,"non-smokers","Stage II",13612.2177980507,2054.35343031602
6,"non-smokers","Stage II",9958.400341037,1600.93815547922
7,"non-smokers","Stage II",7285.34580144941,1351.21349826172
8,"non-smokers","Stage II",5329.79439202322,1173.06039997698
9,"non-smokers","Stage II",3899.15416706997,1016.59497640967
10,"non-smokers","Stage II",2852.52960358151,869.930475494007
11,"non-smokers","Stage II",2086.8434916325,733.464662726691
12,"non-smokers","Stage II",1526.68556115985,609.823564251232
13,"non-smokers","Stage II",1116.88720883934,500.826363396713
14,"non-smokers","Stage II",817.088383492169,406.980424624194
15,"non-smokers","Stage II",597.762622003383,327.73658061169
