"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history","Seed","Strategy","Smoking_ban_policy","Cost","QALY","Treatment_cost","Screen_cost","Life.Years","Total.Screens.Required","Total.number.of.screened.people","False.Positives","Total.cases.diagnosed","Total.Male.cases.diagnosed","Total.Female.cases.diagnosed","Total.screened.detected","Total.Male.screened.detected","Total.Female.screened.detected","Total.cases.diagnosed..80","Total.Male.cases.diagnosed..80","Total.Female.cases.diagnosed..80","Total.screened.detected..80","Total.Male.screened.detected..80","Total.Female.screened.detected..80","Late.cases.diagnosed","Late.Male.cases.diagnosed","Late.Female.cases.diagnosed","Total.deaths","Total.Male.deaths","Total.Female.deaths","Late.deaths","Late.Male.deaths","Late.Female.deaths","Base_Deaths","ICER","QALY_Gain","Additional_cost","Deaths_Averted","LYG","OverDiagnosis","OD_rate","FP_rate","LSA"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Baseline",8419433394.25,85622955.03,8419433394.25,0,507313774,0,0,0,182088,75768,106320,0,0,0,93596,41200,52396,0,0,0,138737,59216,79521,126461,56893,69568,111390,50055,61335,126461,NA,0,0,0,0,0,NA,NA,0
1,1,50,75,0.4,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Baseline",9322792074.97,85652389.18,8942023855.65,380768219.32,507363417,1185237,246210,311513,182819,76499,106320,12111,12111,0,94729,42333,52396,12111,12111,0,133552,54031,79521,122471,52903,69568,106291,44956,61335,126461,30690.8363489286,29434.150000006,903358680.719999,3990,49643,731,6.03583519114854,26.282760325572,5185
2,1,55,75,0.4,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Baseline",9170485491.07,85650423.78,8857638987.41,312846503.66,507359207,975809,223456,256050,182815,76495,106320,11671,11671,0,94725,42329,52396,11671,11671,0,133789,54268,79521,122645,53077,69568,106534,45199,61335,126461,27342.0558569283,27468.75,751052096.82,3816,45433,727,6.22911490017993,26.2397661837511,4948
3,1,60,75,0.4,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"Baseline",8995515600.02,85647028.02,8759700055.97,235815544.05,507352416,736744,193256,192270,182796,76476,106320,10858,10858,0,94706,42310,52396,10858,10858,0,134221,54700,79521,122962,53394,69568,106949,45614,61335,126461,23930.6461627795,24072.9899999946,576082205.77,3499,38642,708,6.52053785227482,26.0972603780961,4516
4,1,50,80,0.4,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,"Baseline",9457515832.25,85658831.24,9032971670.16,424544162.1,507370467,1327078,259570,347124,183625,77305,106320,17742,17742,0,97558,45162,52396,16623,16623,0,131645,52124,79521,120994,51426,69568,104460,43125,61335,126461,28935.1199025814,35876.2099999934,1038082438,5467,56693,1537,8.6630594070567,26.1570156388698,7092
5,1,55,80,0.4,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"Baseline",9305209248.35,85656865.84,8948586801.91,356622446.44,507366257,1117650,236816,291661,183621,77301,106320,17302,17302,0,97554,45158,52396,16183,16183,0,131882,52361,79521,121168,51600,69568,104703,43368,61335,126461,26120.751881183,33910.8100000024,885775854.1,5293,52483,1533,8.86024737024622,26.0959155370644,6855
6,1,60,80,0.4,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"Baseline",9130239357.3,85653470.07,8850647870.47,279591486.83,507359466,878585,206620,227881,183602,77282,106320,16489,16489,0,97535,45139,52396,15370,15370,0,132314,52793,79521,121485,51917,69568,105118,43783,61335,126461,23293.6271114242,30515.0399999917,710805963.049999,4976,45692,1514,9.18187882830978,25.9372741396678,6423
7,1,50,85,0.4,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,"Baseline",9562610142.98,85661979.38,9114289128.42,448321014.56,507372593,1406882,265176,366471,184796,78476,106320,22705,22705,0,97558,45162,52396,16623,16623,0,130424,50903,79521,120084,50516,69568,103385,42050,61335,126461,29293.9343955806,39024.349999994,1143176748.73,6377,58819,2708,11.9268883505836,26.0484532462566,8313
8,1,55,85,0.4,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,"Baseline",9410303559.08,85660013.98,9029904260.18,380399298.9,507368383,1197454,242422,311008,184792,78472,106320,22265,22265,0,97554,45158,52396,16183,16183,0,130661,51140,79521,120258,50690,69568,103628,42293,61335,126461,26737.675104932,37058.950000003,990870164.83,6203,54609,2704,12.1446216034134,25.9724381896925,8076
9,1,60,85,0.4,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,"Baseline",9235333668.02,85656618.22,8931965328.73,303368339.29,507361592,958389,212226,247228,184773,78453,106320,21452,21452,0,97535,45139,52396,15370,15370,0,131093,51572,79521,120575,51007,69568,104043,42708,61335,126461,24237.1645043164,33663.1899999976,815900273.77,5886,47818,2685,12.5163154950587,25.7962059247341,7644
