"","smoking_grp","stage","n","YEAR","predicted_cost","lower_CI","upper_CI","se"
"1","non-smokers","Stage I",1,1,27394.711556052,18366.8663144966,36422.5567976074,4606.04349058947
"2","non-smokers","Stage I",1,2,16144.549891857,12761.7314553625,19527.3683283514,1725.92777372164
"3","non-smokers","Stage I",1,3,10209.1190966782,8078.52330451664,12339.7148888398,1087.0386694702
"4","non-smokers","Stage I",1,4,7282.88617698904,5668.8027699194,8896.96958405868,823.511942382469
"5","non-smokers","Stage I",1,5,5828.03487886651,4643.91805975491,7012.15169797811,604.141234240611
"6","non-smokers","Stage I",1,6,4905.67285266388,3887.2958350206,5924.04987030715,519.580111042489
"7","non-smokers","Stage I",1,7,3972.5789402174,3059.01265006638,4886.14523036842,466.105250077051
"8","non-smokers","Stage I",1,8,2897.2450011927,2263.19324837504,3531.29675401035,323.495792253905
"9","non-smokers","Stage I",1,9,1886.55433808115,1448.72646543028,2324.38221073203,223.381567679017
"10","non-smokers","Stage I",1,10,1148.82788262462,725.162491447666,1572.49327380157,216.155811824976
"11","non-smokers","Stage I",1,11,691.522753841503,299.322800045001,1083.722707638,200.102017243113
"12","non-smokers","Stage I",1,12,416.253580116832,90.9049892878709,741.602170945794,165.994178994368
"13","non-smokers","Stage I",1,13,250.558701065956,0,501.587699585185,128.076019652667
"14","non-smokers","Stage I",1,14,150.82071525304,0,335.549102999276,94.249177421549
"15","non-smokers","Stage I",1,15,90.7846666376622,0,222.350533370499,67.1254422106308
"16","non-smokers","Stage I",1,16,54.6467087275355,0,146.150322309865,46.6855171338417
"17","non-smokers","Stage I",1,17,32.8939113327455,0,95.4010231932842,31.8913836023157
"18","non-smokers","Stage I",1,18,19.8000836273843,0,61.9039479706398,21.4815634404365
"19","non-smokers","Stage I",1,19,11.9184157726218,0,39.9612967943775,14.3075923580386
"20","non-smokers","Stage I",1,20,7.17414316031565,0,25.6802517522412,9.44189213873752
"21","non-smokers","Stage II",1,1,52070.6135078575,26188.4829532732,77952.7440624418,13205.1686502981
"22","non-smokers","Stage II",1,2,38439.8678650965,22849.4112133389,54030.3245168541,7954.3146182437
"23","non-smokers","Stage II",1,3,28377.3149358327,19214.9295153146,37539.7003563507,4674.68643903982
"24","non-smokers","Stage II",1,4,20948.8937579927,15554.3217226932,26343.4657932923,2752.33267107118
"25","non-smokers","Stage II",1,5,15465.0472019544,11983.9293655921,18946.1650383166,1776.08052875626
"26","non-smokers","Stage II",1,6,11416.7255869829,8683.5023395326,14149.9488344332,1394.50165686241
"27","non-smokers","Stage II",1,7,8428.14015274207,5952.88085937176,10903.3994461124,1262.88739457669
"28","non-smokers","Stage II",1,8,6221.87956777658,3914.81922786287,8528.93990769029,1177.07160199679
"29","non-smokers","Stage II",1,9,4593.15488697949,2483.08514437748,6703.2246295815,1076.5661952051
"30","non-smokers","Stage II",1,10,3390.78588973043,1512.25373162826,5269.31804783261,958.434774541925
"31","non-smokers","Stage II",1,11,2503.16574457056,871.011541788494,4135.31994735263,832.731736113301
"32","non-smokers","Stage II",1,12,1847.90162179471,458.024342570815,3237.77890101861,709.12106082852
"33","non-smokers","Stage II",1,13,1364.16871764812,199.732274301859,2528.60516099439,594.100226197074
"34","non-smokers","Stage II",1,14,1007.06459059348,44.3577016634458,1969.77147952352,491.176984147978
"35","non-smokers","Stage II",1,15,743.441098235781,0,1530.72432867922,401.675117573184
"36","non-smokers","Stage II",1,16,548.827425478543,0,1186.82220526072,325.507540705195
