"YEAR","smoking_grp","stage","obs_cost"
1,"non-smokers","Stage I",41559.2748629128
2,"non-smokers","Stage I",7047.2659345192
3,"non-smokers","Stage I",7532.53891259277
4,"non-smokers","Stage I",8351.91389412967
5,"non-smokers","Stage I",7984.79006314331
6,"non-smokers","Stage I",5565.92183635505
7,"non-smokers","Stage I",4020.88360764707
8,"non-smokers","Stage I",2734.66949433755
9,"non-smokers","Stage I",1649.9441107861
10,"non-smokers","Stage I",1323.21029442658
1,"non-smokers","Stage II",59678.141377393
2,"non-smokers","Stage II",23926.7658520869
3,"non-smokers","Stage II",21311.6111250709
4,"non-smokers","Stage II",18780.5610965663
5,"non-smokers","Stage II",16531.8873441053
6,"non-smokers","Stage II",12085.4866717027
7,"non-smokers","Stage II",5989.47981476007
8,"non-smokers","Stage II",4279.36775263281
9,"non-smokers","Stage II",5018.4401881148
10,"non-smokers","Stage II",2507.18989104773
1,"non-smokers","Stage III",57999.1131820098
2,"non-smokers","Stage III",42548.5337724363
3,"non-smokers","Stage III",37731.5720605645
4,"non-smokers","Stage III",32404.9022105784
5,"non-smokers","Stage III",21580.1891489662
6,"non-smokers","Stage III",12668.2685125237
7,"non-smokers","Stage III",14665.9639104944
8,"non-smokers","Stage III",7904.36078479793
9,"non-smokers","Stage III",7280.07232239315
10,"non-smokers","Stage III",3558.48981972854
1,"non-smokers","Stage IV",75822.1907486307
2,"non-smokers","Stage IV",70481.6463269833
3,"non-smokers","Stage IV",59322.0839220982
4,"non-smokers","Stage IV",46773.7765699466
5,"non-smokers","Stage IV",34381.8232883408
6,"non-smokers","Stage IV",28787.1339363766
7,"non-smokers","Stage IV",14188.8504995925
8,"non-smokers","Stage IV",7736.60538773278
9,"non-smokers","Stage IV",4389.09157013328
10,"non-smokers","Stage IV",2159.34379320812
1,"smokers","Stage I",37198.4402141874
2,"smokers","Stage I",5865.85383042091
3,"smokers","Stage I",5711.44237202085
4,"smokers","Stage I",4300.85340269615
5,"smokers","Stage I",2918.45785707174
6,"smokers","Stage I",1797.68598551574
7,"smokers","Stage I",735.490945284142
8,"smokers","Stage I",1511.0166273801
9,"smokers","Stage I",955.543479189611
10,"smokers","Stage I",160.569406466175
1,"smokers","Stage II",45087.1923158195
2,"smokers","Stage II",19673.8078447516
3,"smokers","Stage II",14911.2759634851
4,"smokers","Stage II",11210.2035636353
5,"smokers","Stage II",9128.97300178673
6,"smokers","Stage II",3819.25235340237
7,"smokers","Stage II",6680.66286573052
8,"smokers","Stage II",3981.45463430935
9,"smokers","Stage II",2878.09930305559
10,"smokers","Stage II",351.390895375597
1,"smokers","Stage III",41557.5160604815
2,"smokers","Stage III",23249.7510175504
3,"smokers","Stage III",19696.0782283743
4,"smokers","Stage III",17047.4820078886
5,"smokers","Stage III",8498.4248845402
6,"smokers","Stage III",4606.48121936057
7,"smokers","Stage III",2442.46197839385
8,"smokers","Stage III",2087.15950190513
9,"smokers","Stage III",1715.89736612621
10,"smokers","Stage III",1066.84969629905
1,"smokers","Stage IV",50817.6335114983
2,"smokers","Stage IV",48418.4621307734
3,"smokers","Stage IV",38426.6848645159
4,"smokers","Stage IV",27354.0528028994
5,"smokers","Stage IV",18271.7409856645
6,"smokers","Stage IV",10248.7444320382
7,"smokers","Stage IV",7788.52808730033
8,"smokers","Stage IV",4502.94866494129
9,"smokers","Stage IV",2295.71002308757
10,"smokers","Stage IV",2355.3447707169
