"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history","Seed","Strategy","Smoking_ban_policy","Cost","QALY","Treatment_cost","Screen_cost","Life.Years","Total.Screens.Required","Total.number.of.screened.people","False.Positives","Total.cases.diagnosed","Total.Male.cases.diagnosed","Total.Female.cases.diagnosed","Total.screened.detected","Total.Male.screened.detected","Total.Female.screened.detected","Total.cases.diagnosed..80","Total.Male.cases.diagnosed..80","Total.Female.cases.diagnosed..80","Total.screened.detected..80","Total.Male.screened.detected..80","Total.Female.screened.detected..80","Late.cases.diagnosed","Late.Male.cases.diagnosed","Late.Female.cases.diagnosed","Total.deaths","Total.Male.deaths","Total.Female.deaths","Late.deaths","Late.Male.deaths","Late.Female.deaths","Base_Deaths","ICER","QALY_Gain","Additional_cost","Deaths_Averted","LYG","OverDiagnosis","OD_rate","FP_rate","LSA"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Baseline",9706864682.41,85773050.59,9706864682.41,0,507979658,0,0,0,172322,63071,109251,0,0,0,88604,35635,52969,0,0,0,131611,49543,82068,64062,30852,33210,55830,27004,28826,64062,NA,0,0,0,0,0,NA,NA,0
1,1,50,80,1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Baseline",12160838055.66,85808852.97,11020068584.19,1140769471.48,508027756,3416932,314891,899319,173814,64563,109251,16742,16742,0,92345,39376,52969,15852,15852,0,123228,41160,82068,60134,26924,33210,48652,19826,28826,64062,68542.1855544332,35802.3799999952,2453973373.25,3928,48098,1492,8.91171902998447,26.3194877744128,8383
2,1,50,80,1,5,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Baseline",12155853978.38,85808842.62,11017310499.67,1138543478.71,508027720,3410156,312629,897437,173814,64563,109251,16739,16739,0,92345,39376,52969,15849,15849,0,123230,41162,82068,60135,26925,33210,48654,19828,28826,64062,68422.7548973869,35792.0300000012,2448989295.97,3927,48062,1492,8.91331620765876,26.3165966600941,8381
3,1,50,80,1,10,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"Baseline",12105530941.42,85808762.27,10990142312.67,1115388628.75,508027589,3340197,297779,878802,173814,64563,109251,16708,16708,0,92345,39376,52969,15818,15818,0,123247,41179,82068,60137,26927,33210,48668,19842,28826,64062,67167.5557971655,35711.6799999923,2398666259.01,3925,47931,1492,8.92985396217381,26.3098853151476,8364
4,1,50,80,1,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,"Baseline",11914771252.73,85808195.54,10887629370.26,1027141882.47,508026566,3074550,266941,808359,173812,64561,109251,16557,16557,0,92343,39374,52969,15667,15667,0,123339,41271,82068,60168,26958,33210,48752,19926,28826,64062,62822.8684439674,35144.950000003,2207906570.32,3894,46908,1490,8.99921483360512,26.2919451627067,8272
5,1,50,80,1,20,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"Baseline",11569022679.81,85806687.87,10702090451.97,866932227.83,508024238,2595262,227337,681235,173795,64544,109251,16042,16042,0,92311,39342,52969,15154,15154,0,123629,41561,82068,60277,27067,33210,49005,20179,28826,64062,55359.9457922856,33637.2800000012,1862157997.4,3785,44580,1473,9.18214686448074,26.2491802369086,7982
6,1,50,80,1,25,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"Baseline",11226045859.11,85804041,10519494087.16,706551771.95,508020603,2115097,186943,554141,173725,64474,109251,14995,14995,0,92177,39208,52969,14124,14124,0,124217,42149,82068,60506,27296,33210,49483,20657,28826,64062,49021.0092961073,30990.4099999964,1519181176.7,3556,40945,1403,9.3564521507169,26.1993185182524,7394
7,1,50,80,1,30,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,"Baseline",10947362662.55,85800875.04,10369409275.01,577953387.54,508016409,1728949,150047,452185,173573,64322,109251,13450,13450,0,91801,38832,52969,12638,12638,0,124955,42887,82068,60883,27673,33210,50118,21292,28826,64062,44583.018896685,27824.450000003,1240497980.14,3179,36751,1251,9.30111524163569,26.1537500527777,6656
8,1,50,80,1,35,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,"Baseline",10724490694.32,85798540.85,10249935899.49,474554794.83,508013149,1418682,120344,370333,173471,64220,109251,12344,12344,0,91531,38562,52969,11658,11658,0,125473,43405,82068,61101,27891,33210,50559,21733,28826,64062,39922.1511240129,25490.2599999905,1017626011.91,2961,33491,1149,9.30816591056384,26.1040176727413,6138
9,1,50,80,1,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,"Baseline",12701492159.76,85811660.77,11310277551.55,1391214608.21,508031570,4169962,381153,1098588,173918,64667,109251,18083,18083,0,92620,39651,52969,17110,17110,0,122564,40496,82068,59833,26623,33210,48086,19260,28826,64062,77560.5676365819,38610.1799999923,2994627477.35,4229,51912,1596,8.82596914228834,26.3452760480791,9047
