"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history","Seed","Strategy","Smoking_ban_policy","Cost","QALY","Treatment_cost","Screen_cost","Life.Years","Total.Screens.Required","Total.number.of.screened.people","False.Positives","Total.cases.diagnosed","Total.Male.cases.diagnosed","Total.Female.cases.diagnosed","Total.screened.detected","Total.Male.screened.detected","Total.Female.screened.detected","Total.cases.diagnosed..80","Total.Male.cases.diagnosed..80","Total.Female.cases.diagnosed..80","Total.screened.detected..80","Total.Male.screened.detected..80","Total.Female.screened.detected..80","Late.cases.diagnosed","Late.Male.cases.diagnosed","Late.Female.cases.diagnosed","Total.deaths","Total.Male.deaths","Total.Female.deaths","Late.deaths","Late.Male.deaths","Late.Female.deaths","Base_Deaths","ICER","QALY_Gain","Additional_cost","Deaths_Averted","LYG","OverDiagnosis","OD_rate","FP_rate","LSA"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Baseline",9706864682.41,85773050.59,9706864682.41,0,507979658,0,0,0,172322,63071,109251,0,0,0,88604,35635,52969,0,0,0,131611,49543,82068,64062,30852,33210,55830,27004,28826,64062,NA,0,0,0,0,0,NA,NA,0
1,1,60,80,1,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Baseline",10493239164.16,85794618.87,10141720657.8,351518506.36,508008039,1049808,217433,272787,173357,64106,109251,12761,12761,0,91145,38176,52969,11826,11826,0,126639,44571,82068,61382,28172,33210,51327,22501,28826,64062,36459.7678512128,21568.2800000012,786374481.75,2680,28381,1035,8.11064963560849,25.9844657308765,4972
2,1,60,80,1,5,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Baseline",10493210999.34,85794618.87,10141704218.42,351506780.92,508008039,1049771,217403,272775,173357,64106,109251,12761,12761,0,91145,38176,52969,11826,11826,0,126639,44571,82068,61382,28172,33210,51327,22501,28826,64062,36458.4620067041,21568.2800000012,786346316.93,2680,28381,1035,8.11064963560849,25.9842384672467,4972
3,1,60,80,1,10,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"Baseline",10491171332.1,85794607.89,10140551211.96,350620120.14,508008016,1047087,215936,272020,173357,64106,109251,12755,12755,0,91145,38176,52969,11820,11820,0,126640,44572,82068,61382,28172,33210,51328,22502,28826,64062,36382.4156870345,21557.299999997,784306649.69,2680,28358,1035,8.11446491571933,25.9787391114587,4971
4,1,60,80,1,15,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,"Baseline",10471554412.94,85794483.83,10129999112.41,341555300.53,508007787,1019623,205478,264870,173356,64105,109251,12704,12704,0,91147,38178,52969,11772,11772,0,126663,44595,82068,61395,28185,33210,51352,22526,28826,64062,35677.7477660957,21433.2399999946,764689730.530001,2667,28129,1034,8.13916876574307,25.9772484535951,4948
5,1,60,80,1,20,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"Baseline",10399526722.43,85793841.03,10091242516.5,308284205.93,508006771,919862,183047,238229,173350,64099,109251,12419,12419,0,91136,38167,52969,11495,11495,0,126790,44722,82068,61456,28246,33210,51465,22639,28826,64062,33316.3723336341,20790.4399999976,692662040.02,2606,27113,1028,8.27763910137692,25.8983412729301,4821
6,1,60,80,1,25,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"Baseline",10277115413.8,85792293.37,10024999975.04,252115438.76,508004721,752394,155873,194433,173293,64042,109251,11632,11632,0,91037,38068,52969,10730,10730,0,127129,45061,82068,61609,28399,33210,51758,22932,28826,64062,29634.5294905395,19242.7800000012,570250731.389999,2453,25063,971,8.34766162310867,25.8419126149331,4482
7,1,60,80,1,30,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,"Baseline",10184235850.72,85790298.29,9973703784.43,210532066.29,508002155,628303,128553,161929,173183,63932,109251,10439,10439,0,90773,37804,52969,9601,9601,0,127575,45507,82068,61862,28652,33210,52164,23338,28826,64062,27677.3812340148,17247.700000003,477371168.309999,2200,22497,861,8.24791646709455,25.7724378206057,4036
8,1,60,80,1,35,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,"Baseline",10130662056.33,85789172.83,9944049241.92,186612814.41,508000661,556202,106165,142978,173120,63869,109251,9723,9723,0,90587,37618,52969,8990,8990,0,127849,45781,82068,62002,28792,33210,52398,23572,28826,64062,26286.5069568584,16122.2399999946,423797373.92,2060,21003,798,8.207343412527,25.706128349053,3762
9,1,60,80,1,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,"Baseline",10664510835.45,85796401.22,10234866426.36,429644409.09,508010519,1284231,264555,334580,173422,64171,109251,13828,13828,0,91314,38345,52969,12806,12806,0,126259,44191,82068,61156,27946,33210,50960,22134,28826,64062,41011.5766915152,23350.6299999952,957646153.040001,2906,30861,1100,7.95487416835407,26.052945303454,5352
