"YEAR","smoking_grp","stage","predicted_cost","se"
1,"non-smokers","Stage I",27394.711556052,4606.04349058947
2,"non-smokers","Stage I",16144.549891857,1725.92777372164
3,"non-smokers","Stage I",10209.1190966782,1087.0386694702
4,"non-smokers","Stage I",7282.88617698904,823.511942382469
5,"non-smokers","Stage I",5828.03487886651,604.141234240611
6,"non-smokers","Stage I",4905.67285266388,519.580111042489
7,"non-smokers","Stage I",3972.5789402174,466.105250077051
8,"non-smokers","Stage I",2897.2450011927,323.495792253905
9,"non-smokers","Stage I",1886.55433808115,223.381567679017
10,"non-smokers","Stage I",1148.82788262462,216.155811824976
11,"non-smokers","Stage I",691.522753841503,200.102017243113
12,"non-smokers","Stage I",416.253580116832,165.994178994368
13,"non-smokers","Stage I",250.558701065956,128.076019652667
14,"non-smokers","Stage I",150.82071525304,94.249177421549
15,"non-smokers","Stage I",90.7846666376622,67.1254422106308
16,"non-smokers","Stage I",54.6467087275355,46.6855171338417
17,"non-smokers","Stage I",32.8939113327455,31.8913836023157
18,"non-smokers","Stage I",19.8000836273843,21.4815634404365
19,"non-smokers","Stage I",11.9184157726218,14.3075923580386
20,"non-smokers","Stage I",7.17414316031565,9.44189213873752
1,"non-smokers","Stage II",52070.6135078575,13205.1686502981
2,"non-smokers","Stage II",38439.8678650965,7954.3146182437
3,"non-smokers","Stage II",28377.3149358327,4674.68643903982
4,"non-smokers","Stage II",20948.8937579927,2752.33267107118
5,"non-smokers","Stage II",15465.0472019544,1776.08052875626
6,"non-smokers","Stage II",11416.7255869829,1394.50165686241
7,"non-smokers","Stage II",8428.14015274207,1262.88739457669
8,"non-smokers","Stage II",6221.87956777658,1177.07160199679
9,"non-smokers","Stage II",4593.15488697949,1076.5661952051
10,"non-smokers","Stage II",3390.78588973043,958.434774541925
11,"non-smokers","Stage II",2503.16574457056,832.731736113301
12,"non-smokers","Stage II",1847.90162179471,709.12106082852
13,"non-smokers","Stage II",1364.16871764812,594.100226197074
14,"non-smokers","Stage II",1007.06459059348,491.176984147978
15,"non-smokers","Stage II",743.441098235781,401.675117573184
16,"non-smokers","Stage II",548.827425478543,325.507540705195
17,"non-smokers","Stage II",405.158584415355,261.766960663125
18,"non-smokers","Stage II",299.098534265708,209.134605930442
19,"non-smokers","Stage II",220.802265189533,166.144844461582
20,"non-smokers","Stage II",163.001936577589,131.345869551343
1,"non-smokers","Stage III",57982.5328512575,9641.08955204741
2,"non-smokers","Stage III",43021.0154533047,5818.88162952045
3,"non-smokers","Stage III",31920.0414220176,3462.11068565655
4,"non-smokers","Stage III",23683.4438327864,2125.47128255477
5,"non-smokers","Stage III",17572.1291935676,1487.2227157346
6,"non-smokers","Stage III",13037.7268923065,1243.0829178918
7,"non-smokers","Stage III",9673.36270873867,1137.89552828844
8,"non-smokers","Stage III",7177.14206938106,1050.0200810034
9,"non-smokers","Stage III",5325.06124462775,949.486553554119
10,"non-smokers","Stage III",3950.91063042128,838.174584767065
11,"non-smokers","Stage III",2931.36387189693,724.263722258376
12,"non-smokers","Stage III",2174.91483692364,614.8130209766
13,"non-smokers","Stage III",1613.67020765306,514.353533204773
14,"non-smokers","Stage III",1197.25678213233,425.178601477876
15,"non-smokers","Stage III",888.30034511615,347.978225625444
16,"non-smokers","Stage III",659.071232595663,282.419849113464
17,"non-smokers","Stage III",488.995520516622,227.58739262671
18,"non-smokers","Stage III",362.808460238195,182.284123178268
19,"non-smokers","Stage III",269.184426641257,145.228323387884
20,"non-smokers","Stage III",199.720413075842,115.171589364556
1,"non-smokers","Stage IV",78297.4572869641,6945.48453792714
2,"non-smokers","Stage IV",70215.899408422,4737.29819408423
3,"non-smokers","Stage IV",61138.5982208667,5418.19702653853
4,"non-smokers","Stage IV",50116.0251231259,5003.28676733168
5,"non-smokers","Stage IV",37773.1708283485,3916.33839737306
6,"non-smokers","Stage IV",25899.3699981863,3120.23715125358
7,"non-smokers","Stage IV",16202.9591090529,2183.01788325657
8,"non-smokers","Stage IV",9389.54896718586,1246.63158051276
9,"non-smokers","Stage IV",5162.78942693,805.790914858391
10,"non-smokers","Stage IV",2768.97699442509,668.680400778251
11,"non-smokers","Stage IV",1479.16545548095,526.728231393301
12,"non-smokers","Stage IV",790.158404744144,378.677172606679
13,"non-smokers","Stage IV",422.096326191449,255.679783474134
14,"non-smokers","Stage IV",225.480495448262,165.469896793565
15,"non-smokers","Stage IV",120.449884713125,103.932624815649
16,"non-smokers","Stage IV",64.3433690287158,63.8565767608604
17,"non-smokers","Stage IV",34.3717152392954,38.5773426022947
18,"non-smokers","Stage IV",18.3610965096335,22.9977683900519
19,"non-smokers","Stage IV",9.80835150905277,13.5637137819634
20,"non-smokers","Stage IV",5.23954325247747,7.92927527186047
1,"smokers","Stage I",29219.9441285376,5539.54378933461
2,"smokers","Stage I",12519.4042483503,1495.31914912493
3,"smokers","Stage I",6056.93881214687,779.571172106641
4,"smokers","Stage I",3615.89727846985,497.720936279936
5,"smokers","Stage I",2654.20557871607,331.49765888623
6,"smokers","Stage I",2163.33192704861,287.89706908133
7,"smokers","Stage I",1692.43085344724,257.138007548664
8,"smokers","Stage I",1137.58649210235,162.45689314978
9,"smokers","Stage I",644.070225784361,96.7377487298244
10,"smokers","Stage I",328.997452046989,81.4268438476282
11,"smokers","Stage I",165.077915685072,63.844152347915
12,"smokers","Stage I",82.8295723184994,44.413880635926
13,"smokers","Stage I",41.5606050148711,28.6461684924102
14,"smokers","Stage I",20.8534686447531,17.5994910282233
15,"smokers","Stage I",10.4634461977176,10.4586074473738
16,"smokers","Stage I",5.25014366663066,6.06727639564604
17,"smokers","Stage I",2.63431454603116,3.45643172803184
18,"smokers","Stage I",1.32179490087839,1.94138604475938
19,"smokers","Stage I",0.663224428768521,1.07812624621057
20,"smokers","Stage I",0.332779800121041,0.593191976661969
1,"smokers","Stage II",35600.572975154,7414.10158759874
2,"smokers","Stage II",24407.6331303483,4164.16495381577
3,"smokers","Stage II",16733.8036352684,2315.05651112059
4,"smokers","Stage II",11472.6621767416,1331.36237967552
5,"smokers","Stage II",7865.64262177683,864.795112035845
6,"smokers","Stage II",5392.67597959802,660.541532037563
7,"smokers","Stage II",3697.20974866283,551.034347984523
8,"smokers","Stage II",2534.79695684503,465.447444910104
9,"smokers","Stage II",1737.84717665284,386.715397359679
10,"smokers","Stage II",1191.46035269875,314.362008103712
11,"smokers","Stage II",816.859831222777,250.45651130516
12,"smokers","Stage II",560.035407266307,196.172825202628
13,"smokers","Stage II",383.957743303945,151.500128019427
14,"smokers","Stage II",263.239692937763,115.638503719968
15,"smokers","Stage II",180.475943372532,87.4067950715916
16,"smokers","Stage II",123.73349084519,65.5249582898902
17,"smokers","Stage II",84.8311219248452,48.7773169545474
18,"smokers","Stage II",58.1598336705111,36.0915487528685
19,"smokers","Stage II",39.874119024127,26.5653964127031
20,"smokers","Stage II",27.3375157322089,19.4641195295941
1,"smokers","Stage III",42174.5699590999,4581.70664626978
2,"smokers","Stage III",28663.9977836607,2559.61620640226
3,"smokers","Stage III",19481.4959158676,1474.52300246931
4,"smokers","Stage III",13240.5739054775,942.289563719697
5,"smokers","Stage III",8998.91458059528,695.948987799838
6,"smokers","Stage III",6116.07044891373,563.133530757295
7,"smokers","Stage III",4156.75378062667,465.765174900809
8,"smokers","Stage III",2825.11427008289,381.279982860332
9,"smokers","Stage III",1920.07353345056,306.351108724967
10,"smokers","Stage III",1304.96788784124,241.626187539591
11,"smokers","Stage III",886.91461550782,187.506127253346
12,"smokers","Stage III",602.786890413567,143.525390502406
13,"smokers","Stage III",409.680964662437,108.604362362199
14,"smokers","Stage III",278.437529873274,81.3889216351582
15,"smokers","Stage III",189.238614261246,60.4957633549035
16,"smokers","Stage III",128.615036715113,44.6523417439444
17,"smokers","Stage III",87.4125385762646,32.7599253366056
18,"smokers","Stage III",59.4094757152843,23.9091289170831
19,"smokers","Stage III",40.3773401648277,17.3695748304816
20,"smokers","Stage III",27.4422485497001,12.5676455295415
1,"smokers","Stage IV",52507.1643098045,4064.88871980997
2,"smokers","Stage IV",42382.8263212947,3041.26614516386
3,"smokers","Stage IV",32942.5994533812,3372.27265451097
4,"smokers","Stage IV",23904.0292967114,2839.79048874536
5,"smokers","Stage IV",16067.7717578446,1978.43118787825
6,"smokers","Stage IV",10195.0252434352,1351.77509928895
7,"smokers","Stage IV",6314.42969248681,895.699131177128
8,"smokers","Stage IV",3934.4739857036,579.294560445139
9,"smokers","Stage IV",2498.94143289834,465.357337152577
10,"smokers","Stage IV",1609.37146485343,449.468247408945
11,"smokers","Stage IV",1039.0936764455,413.254562946423
12,"smokers","Stage IV",670.892762801253,351.81151749184
13,"smokers","Stage IV",433.163158800828,283.531900085695
14,"smokers","Stage IV",279.672598283633,219.958257663939
15,"smokers","Stage IV",180.571132704948,166.01856256854
16,"smokers","Stage IV",116.586087326582,122.759628456789
17,"smokers","Stage IV",75.2740238957864,89.3433983949224
18,"smokers","Stage IV",48.6008133851449,64.2090265301009
19,"smokers","Stage IV",31.3792054609412,45.6756011480568
20,"smokers","Stage IV",20.2600423074592,32.2176252671125
