"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,50,80,1,20,15,1,1,50,75,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,50,80,1,20,15,1,1,55,75,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,1,50,80,1,20,15,1,1,60,75,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,50,80,1,20,15,1,1,50,80,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,1,50,80,1,20,15,1,1,55,80,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1,50,80,1,20,15,1,1,60,80,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,1,50,80,1,20,15,1,1,50,85,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1,50,80,1,20,15,1,1,55,85,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,1,50,80,1,20,15,1,1,60,85,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,1,50,80,1,20,15,1,1,50,75,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,1,50,80,1,20,15,1,1,55,75,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,1,50,80,1,20,15,1,1,60,75,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,1,50,80,1,20,15,1,1,50,80,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,1,50,80,1,20,15,1,1,55,80,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,1,50,80,1,20,15,1,1,60,80,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,1,50,80,1,20,15,1,1,50,85,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17,1,50,80,1,20,15,1,1,55,85,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,1,50,80,1,20,15,1,1,60,85,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,1,50,80,1,20,15,1,1,50,75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,1,50,80,1,20,15,1,1,55,75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,1,50,80,1,20,15,1,1,60,75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,1,50,80,1,20,15,1,1,50,80,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
23,1,50,80,1,20,15,1,1,55,80,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,1,50,80,1,20,15,1,1,60,80,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25,1,50,80,1,20,15,1,1,50,85,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,1,50,80,1,20,15,1,1,55,85,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,1,50,80,1,20,15,1,1,60,85,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28,1,50,80,1,20,15,1,1,50,75,0.4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
29,1,50,80,1,20,15,1,1,55,75,0.4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
30,1,50,80,1,20,15,1,1,60,75,0.4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
31,1,50,80,1,20,15,1,1,50,80,0.4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
32,1,50,80,1,20,15,1,1,55,80,0.4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
33,1,50,80,1,20,15,1,1,60,80,0.4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
34,1,50,80,1,20,15,1,1,50,85,0.4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
35,1,50,80,1,20,15,1,1,55,85,0.4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
36,1,50,80,1,20,15,1,1,60,85,0.4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
37,1,50,80,1,20,15,1,1,50,75,0.7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
38,1,50,80,1,20,15,1,1,55,75,0.7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
39,1,50,80,1,20,15,1,1,60,75,0.7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
40,1,50,80,1,20,15,1,1,50,80,0.7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
41,1,50,80,1,20,15,1,1,55,80,0.7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
42,1,50,80,1,20,15,1,1,60,80,0.7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
43,1,50,80,1,20,15,1,1,50,85,0.7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
44,1,50,80,1,20,15,1,1,55,85,0.7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
45,1,50,80,1,20,15,1,1,60,85,0.7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
46,1,50,80,1,20,15,1,1,50,75,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
47,1,50,80,1,20,15,1,1,55,75,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
48,1,50,80,1,20,15,1,1,60,75,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
49,1,50,80,1,20,15,1,1,50,80,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
50,1,50,80,1,20,15,1,1,55,80,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
51,1,50,80,1,20,15,1,1,60,80,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
52,1,50,80,1,20,15,1,1,50,85,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
53,1,50,80,1,20,15,1,1,55,85,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
54,1,50,80,1,20,15,1,1,60,85,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
55,1,50,80,1,20,15,1,1,50,75,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
56,1,50,80,1,20,15,1,1,55,75,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
57,1,50,80,1,20,15,1,1,60,75,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
58,1,50,80,1,20,15,1,1,50,80,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
59,1,50,80,1,20,15,1,1,55,80,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
60,1,50,80,1,20,15,1,1,60,80,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
61,1,50,80,1,20,15,1,1,50,85,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
62,1,50,80,1,20,15,1,1,55,85,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
63,1,50,80,1,20,15,1,1,60,85,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
64,1,50,80,1,20,15,1,1,50,75,0.7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
