"year_of_death","gender","race","age","mortality_rate"
1990,"female","chinese",0,0.0062
1990,"female","chinese",1,2e-04
1990,"female","chinese",2,2e-04
1990,"female","chinese",3,2e-04
1990,"female","chinese",4,2e-04
1990,"female","chinese",5,1e-04
1990,"female","chinese",6,1e-04
1990,"female","chinese",7,1e-04
1990,"female","chinese",8,1e-04
1990,"female","chinese",9,1e-04
1990,"female","chinese",10,2e-04
1990,"female","chinese",11,2e-04
1990,"female","chinese",12,2e-04
1990,"female","chinese",13,2e-04
1990,"female","chinese",14,2e-04
1990,"female","chinese",15,2e-04
1990,"female","chinese",16,2e-04
1990,"female","chinese",17,2e-04
1990,"female","chinese",18,2e-04
1990,"female","chinese",19,2e-04
1990,"female","chinese",20,4e-04
1990,"female","chinese",21,4e-04
1990,"female","chinese",22,4e-04
1990,"female","chinese",23,4e-04
1990,"female","chinese",24,4e-04
1990,"female","chinese",25,4e-04
1990,"female","chinese",26,4e-04
1990,"female","chinese",27,4e-04
1990,"female","chinese",28,4e-04
1990,"female","chinese",29,4e-04
1990,"female","chinese",30,6e-04
1990,"female","chinese",31,6e-04
1990,"female","chinese",32,6e-04
1990,"female","chinese",33,6e-04
1990,"female","chinese",34,6e-04
1990,"female","chinese",35,0.001
1990,"female","chinese",36,0.001
1990,"female","chinese",37,0.001
1990,"female","chinese",38,0.001
1990,"female","chinese",39,0.001
1990,"female","chinese",40,0.0014
1990,"female","chinese",41,0.0014
1990,"female","chinese",42,0.0014
1990,"female","chinese",43,0.0014
1990,"female","chinese",44,0.0014
1990,"female","chinese",45,0.0024
1990,"female","chinese",46,0.0024
1990,"female","chinese",47,0.0024
1990,"female","chinese",48,0.0024
1990,"female","chinese",49,0.0024
1990,"female","chinese",50,0.0042
1990,"female","chinese",51,0.0042
1990,"female","chinese",52,0.0042
1990,"female","chinese",53,0.0042
1990,"female","chinese",54,0.0042
1990,"female","chinese",55,0.0074
1990,"female","chinese",56,0.0074
1990,"female","chinese",57,0.0074
1990,"female","chinese",58,0.0074
1990,"female","chinese",59,0.0074
1990,"female","chinese",60,0.0109
1990,"female","chinese",61,0.0109
1990,"female","chinese",62,0.0109
1990,"female","chinese",63,0.0109
1990,"female","chinese",64,0.0109
1990,"female","chinese",65,0.0186
1990,"female","chinese",66,0.0186
1990,"female","chinese",67,0.0186
1990,"female","chinese",68,0.0186
1990,"female","chinese",69,0.0186
1990,"female","chinese",70,0.0313
1990,"female","chinese",71,0.0313
1990,"female","chinese",72,0.0313
1990,"female","chinese",73,0.0313
1990,"female","chinese",74,0.0313
1990,"female","chinese",75,0.0477999999999999
1990,"female","chinese",76,0.0477999999999999
1990,"female","chinese",77,0.0477999999999999
1990,"female","chinese",78,0.0477999999999999
1990,"female","chinese",79,0.0477999999999999
1990,"female","chinese",80,0.0785999999999999
1990,"female","chinese",81,0.0785999999999999
1990,"female","chinese",82,0.0785999999999999
1990,"female","chinese",83,0.0785999999999999
1990,"female","chinese",84,0.0785999999999999
1990,"female","chinese",85,0.1294
1990,"female","chinese",86,0.1294
1990,"female","chinese",87,0.1294
1990,"female","chinese",88,0.1294
1990,"female","chinese",89,0.1294
1990,"female","chinese",90,0.1294
1990,"female","indian",0,0.0062
1990,"female","indian",1,2e-04
1990,"female","indian",2,2e-04
1990,"female","indian",3,2e-04
